,orderno,sentence
887,181-4,"The objective of this research was to test whether a modified version of the remote sensing ET model PT-JPL, proven to perform well in drylands at Eddy Covariance flux sites using the land surface temperature as a proxy to the surface moisture status (PT-JPL-thermal), could be up-scaled at regional levels introducing also a new formulation for net radiation from various MODIS products."
888,181-5,"We applied three methods to track the spatial and temporal characteristics of ET in the World Heritage UNESCO Donana region: (i) a locally calibrated hydrological model (WATEN), (ii) the PT-JPL-thermal, and (iii) the global remote sensing ET product MOD16."
889,181-6,"The PT-JPL-thermal showed strong agreement with the WATEN ET in-situ calibrated estimates (rho = 0.78, rho(1month-lag) = 0.94) even though the MOD16 product did not (rho = 0.48)."
890,181-7,The PT-JPL-thermal approach has proven to be a robust remote sensing model for detecting ET at a regional level in Mediterranean environments and it requires only air temperature and incoming solar radiation from climatic databases apart from freely available satellite products.
891,182-1,"The timely estimation of crop biomass and nitrogen content is a crucial step in various tasks in precision agriculture, for example in fertilization optimization."
892,182-2,Remote sensing using drones and aircrafts offers a feasible tool to carry out this task.
893,182-3,"Our objective was to develop and assess a methodology for crop biomass and nitrogen estimation, integrating spectral and 3D features that can be extracted using airborne miniaturized multispectral, hyperspectral and colour (RGB) cameras."
894,182-4,"We used the Random Forest (RF) as the estimator, and in addition Simple Linear Regression (SLR) was used to validate the consistency of the RF results."
895,182-5,The method was assessed with empirical datasets captured of a barley field and a grass silage trial site using a hyperspectral camera based on the Fabry-Perot interferometer (FPI) and a regular RGB camera onboard a drone and an aircraft.
896,182-6,"Agricultural reference measurements included fresh yield (FY), dry matter yield (DMY) and amount of nitrogen."
897,182-7,"In DMY estimation of barley, the Pearson Correlation Coefficient (PCC) and the normalized Root Mean Square Error (RMSE%) were at best 0.95% and 33.2%, respectively; and in the grass DMY estimation, the best results were 0.79% and 1.9%, respectively."
898,182-8,"In the nitrogen amount estimations of barley, the PCC and RMSE% were at best 0.97% and 21.6%, respectively."
899,182-9,"In the biomass estimation, the best results were obtained when integrating hyperspectral and 3D features, but the integration of RGB images and 3D features also provided results that were almost as good."
900,182-10,"In nitrogen content estimation, the hyperspectral camera gave the best results."
901,182-11,We concluded that the integration of spectral and high spatial resolution 3D features and radiometric calibration was necessary to optimize the accuracy.
902,183-1,Information about changes in the population sizes of wild animals is extremely important for conservation and management.
903,183-2,"Wild animal populations have been estimated using statistical methods, but it is difficult to apply such methods to large areas."
904,183-3,"To address this problem, we have developed several support systems for the automated detection of wild animals in remote sensing images."
905,183-4,"In this study, we applied one of the developed algorithms, the computer-aided detection of moving wild animals (DWA) algorithm, to thermal remote sensing images."
906,183-5,We also performed several analyses to confirm that the DWA algorithm is useful for thermal images and to clarify the optimal conditions for obtaining thermal images (during predawn hours and on overcast days).
907,183-6,We developed a method based on the algorithm to extract moving wild animals from thermal remote sensing images.
908,183-7,"Then, accuracy was evaluated by applying the method to airborne thermal images in a wide area."
909,183-8,We found that the producer's accuracy of the method was approximately 77.3% and the user's accuracy of the method was approximately 29.3%.
910,183-9,This means that the proposed method can reduce the person-hours required to survey moving wild animals from large numbers of thermal remote sensing images.
911,183-10,"Furthermore, we confirmed the extracted sika deer candidates in a pair of images and found 24 moving objects that were not identified by visual inspection by an expert."
912,183-11,"Therefore, the proposed method can also reduce oversight when identifying moving wild animals."
913,183-12,The detection accuracy is expected to increase by setting suitable observation conditions for surveying moving wild animals.
914,183-13,"Accordingly, we also discuss the required observation conditions."
915,183-14,The discussions about the required observation conditions would be extremely useful for people monitoring animal population changes using thermal remote sensing images.
916,184-1,Aquaculture makes a crucial contribution to global food security and protein intake and is a basis for many livelihoods.
917,184-2,"Every second fish consumed today is produced in aquaculture systems, mainly in land-based water ponds situated along the coastal areas."
918,184-3,"Satellite remote sensing enables high-resolution mapping of pond aquaculture, facilitating inventory analyses to support sustainable development of the planet's valuable coastal ecosystems."
919,184-4,"Free, full and open data from the Copernicus earth observation missions opens up new potential for the detection and monitoring of aquaculture from space."
920,184-5,"High-resolution time series data acquired by active microwave instruments aboard the Sentinel-1 satellites and fully automated, object-based image analysis allow the identification of aquaculture ponds."
921,184-6,"In view of the diversity and complexity in the production of aquaculture products, yield and production varies greatly among species."
922,184-7,"Although national statistics on aquaculture production exist, there is a large gap of pond-specific aquaculture production quantities."
923,184-8,"In this regard, earth observation-based mapping and monitoring of pond aquaculture can be used to estimate production and has great potential for global production projections."
